country,year,num,iso_alpha
Costa Rica,01-4-2019,0,CRI
Costa Rica,01-5-2019,0,CRI
Costa Rica,01-6-2019,0,CRI
Costa Rica,01-7-2019,0,CRI
Costa Rica,01-8-2019,0,CRI
Costa Rica,01-9-2019,0,CRI
Costa Rica,01-10-2019,0,CRI
Costa Rica,01-11-2019,1,CRI
Costa Rica,01-12-2019,0,CRI
Cuba,01-1-2019,0,CUB
Cuba,01-2-2019,0,CUB
Cuba,01-3-2019,1,CUB
Cuba,01-4-2019,0,CUB
Cuba,01-5-2019,0,CUB
Cuba,01-6-2019,0,CUB
Cuba,01-7-2019,0,CUB
Cuba,01-8-2019,0,CUB
Cuba,01-9-2019,0,CUB
Cuba,01-10-2019,0,CUB
Cuba,01-11-2019,0,CUB
Cuba,01-12-2019,0,CUB
Czechia,01-1-2019,7,CZE
Czechia,01-2-2019,5,CZE
Czechia,01-3-2019,2,CZE
Czechia,01-4-2019,2,CZE
Czechia,01-5-2019,2,CZE
Czechia,01-6-2019,5,CZE
Czechia,01-7-2019,3,CZE
Czechia,01-8-2019,1,CZE
Czechia,01-9-2019,3,CZE
Czechia,01-10-2019,2,CZE
Czechia,01-11-2019,3,CZE
Czechia,01-12-2019,7,CZE
Germany,01-1-2019,16,DEU
Germany,01-2-2019,8,DEU
Germany,01-3-2019,12,DEU
Germany,01-4-2019,9,DEU
Germany,01-5-2019,17,DEU
Germany,01-6-2019,15,DEU
Germany,01-7-2019,10,DEU
Germany,01-8-2019,7,DEU
Germany,01-9-2019,13,DEU
Germany,01-10-2019,5,DEU
Germany,01-11-2019,14,DEU
Germany,01-12-2019,11,DEU
Denmark,01-1-2019,7,DNK
Denmark,01-2-2019,4,DNK
Denmark,01-3-2019,4,DNK
Denmark,01-4-2019,4,DNK
Denmark,01-5-2019,7,DNK
Denmark,01-6-2019,5,DNK
Denmark,01-7-2019,3,DNK
Denmark,01-8-2019,4,DNK
Denmark,01-9-2019,7,DNK
Denmark,01-10-2019,4,DNK
Denmark,01-11-2019,4,DNK
Denmark,01-12-2019,2,DNK
Egypt,01-1-2019,0,EGY
Egypt,01-2-2019,1,EGY
Egypt,01-3-2019,1,EGY
Egypt,01-4-2019,1,EGY
Egypt,01-5-2019,1,EGY
Egypt,01-6-2019,0,EGY
Egypt,01-7-2019,1,EGY
Egypt,01-8-2019,2,EGY
Egypt,01-9-2019,1,EGY
Egypt,01-10-2019,1,EGY
Egypt,01-11-2019,1,EGY
Egypt,01-12-2019,0,EGY
Spain,01-1-2019,19,ESP
Spain,01-2-2019,13,ESP
Spain,01-3-2019,16,ESP
Spain,01-4-2019,21,ESP
Spain,01-5-2019,29,ESP
Spain,01-6-2019,28,ESP
Spain,01-7-2019,17,ESP
Spain,01-8-2019,12,ESP
Spain,01-9-2019,20,ESP
Spain,01-10-2019,8,ESP
Spain,01-11-2019,15,ESP
Spain,01-12-2019,19,ESP
Estonia,01-1-2019,0,EST
Estonia,01-2-2019,0,EST
Estonia,01-3-2019,2,EST
Estonia,01-4-2019,1,EST
Estonia,01-5-2019,0,EST
Estonia,01-6-2019,0,EST
Estonia,01-7-2019,0,EST
Estonia,01-8-2019,1,EST
Estonia,01-9-2019,0,EST
Estonia,01-10-2019,0,EST
Estonia,01-11-2019,0,EST
Estonia,01-12-2019,0,EST
Finland,01-1-2019,2,FIN
Finland,01-2-2019,1,FIN
Finland,01-3-2019,2,FIN
Finland,01-4-2019,2,FIN
Finland,01-5-2019,2,FIN
Finland,01-6-2019,5,FIN
Finland,01-7-2019,0,FIN
Finland,01-8-2019,2,FIN
Finland,01-9-2019,1,FIN
Finland,01-10-2019,2,FIN
Finland,01-11-2019,4,FIN
Finland,01-12-2019,0,FIN
France,01-1-2019,29,FRA
France,01-2-2019,20,FRA
France,01-3-2019,35,FRA
France,01-4-2019,25,FRA
France,01-5-2019,28,FRA
France,01-6-2019,30,FRA
France,01-7-2019,31,FRA
France,01-8-2019,10,FRA
France,01-9-2019,19,FRA
France,01-10-2019,16,FRA
France,01-11-2019,16,FRA
France,01-12-2019,20,FRA
United Kingdom,01-1-2019,11,GBR
United Kingdom,01-2-2019,14,GBR
United Kingdom,01-3-2019,17,GBR
United Kingdom,01-4-2019,12,GBR
United Kingdom,01-5-2019,16,GBR
United Kingdom,01-6-2019,16,GBR
United Kingdom,01-7-2019,16,GBR
United Kingdom,01-8-2019,8,GBR
United Kingdom,01-9-2019,10,GBR
United Kingdom,01-10-2019,9,GBR
United Kingdom,01-11-2019,8,GBR
United Kingdom,01-12-2019,13,GBR
Georgia,01-1-2019,0,GEO
Georgia,01-2-2019,0,GEO
Georgia,01-3-2019,1,GEO
Georgia,01-4-2019,0,GEO
Georgia,01-5-2019,0,GEO
Georgia,01-6-2019,1,GEO
Georgia,01-7-2019,0,GEO
Georgia,01-8-2019,1,GEO
Georgia,01-9-2019,0,GEO
Georgia,01-10-2019,0,GEO
Georgia,01-11-2019,2,GEO
Georgia,01-12-2019,1,GEO
Greece,01-1-2019,3,GRC
Greece,01-2-2019,1,GRC
Greece,01-3-2019,2,GRC
Greece,01-4-2019,5,GRC
Greece,01-5-2019,4,GRC
Greece,01-6-2019,3,GRC
Greece,01-7-2019,0,GRC
Greece,01-8-2019,2,GRC
Greece,01-9-2019,1,GRC
Greece,01-10-2019,2,GRC
Greece,01-11-2019,2,GRC
Greece,01-12-2019,3,GRC
Hong Kong,01-1-2019,2,HKG
Hong Kong,01-2-2019,0,HKG
Hong Kong,01-3-2019,2,HKG
Hong Kong,01-4-2019,6,HKG
Hong Kong,01-5-2019,6,HKG
Hong Kong,01-6-2019,2,HKG
Hong Kong,01-7-2019,2,HKG
Hong Kong,01-8-2019,1,HKG
Hong Kong,01-9-2019,4,HKG
Hong Kong,01-10-2019,1,HKG
Hong Kong,01-11-2019,1,HKG
Hong Kong,01-12-2019,3,HKG
Croatia,01-1-2019,0,HRV
Croatia,01-2-2019,0,HRV
Croatia,01-3-2019,1,HRV
Croatia,01-4-2019,1,HRV
Croatia,01-5-2019,0,HRV
Croatia,01-6-2019,0,HRV
Croatia,01-7-2019,0,HRV
Croatia,01-8-2019,0,HRV
Croatia,01-9-2019,1,HRV
Croatia,01-10-2019,0,HRV
Croatia,01-11-2019,1,HRV
Croatia,01-12-2019,0,HRV
Hungary,01-1-2019,7,HUN
Hungary,01-2-2019,2,HUN
Hungary,01-3-2019,3,HUN
Hungary,01-4-2019,1,HUN
Hungary,01-5-2019,4,HUN
Hungary,01-6-2019,7,HUN
Hungary,01-7-2019,5,HUN
Hungary,01-8-2019,3,HUN
Hungary,01-9-2019,2,HUN
Hungary,01-10-2019,0,HUN
Hungary,01-11-2019,4,HUN
Hungary,01-12-2019,3,HUN
Indonesia,01-1-2019,0,IDN
Indonesia,01-2-2019,0,IDN
Indonesia,01-3-2019,0,IDN
Indonesia,01-4-2019,0,IDN
Indonesia,01-5-2019,0,IDN
Indonesia,01-6-2019,0,IDN
Indonesia,01-7-2019,0,IDN
Indonesia,01-8-2019,0,IDN
Indonesia,01-9-2019,0,IDN
Indonesia,01-10-2019,1,IDN
Indonesia,01-11-2019,0,IDN
Indonesia,01-12-2019,0,IDN
India,01-1-2019,2,IND
India,01-2-2019,2,IND
India,01-3-2019,0,IND
India,01-4-2019,1,IND
India,01-5-2019,1,IND
